회사명,거래소코드,회계년도,배당금(*)(IFRS)(천원)
(주)강원랜드,035250,2016/12,200711608
(주)강원랜드,035250,2017/12,200711608
(주)강원랜드,035250,2018/12,182465098
(주)강원랜드,035250,2019/12,182465098
(주)강원에너지,114190,2010/11,0
(주)강원에너지,114190,2011/11,761737
(주)강원에너지,114190,2012/12,633341
(주)강원에너지,114190,2013/12,380005
(주)강원에너지,114190,2014/12,0
(주)강원에너지,114190,2015/12,0
(주)강원에너지,114190,2016/12,0
(주)강원에너지,114190,2017/12,0
(주)강원에너지,114190,2018/12,0
(주)강원에너지,114190,2019/12,0
(주)갤럭시아에스엠,011420,2010/12,0
(주)갤럭시아에스엠,011420,2011/12,0
(주)갤럭시아에스엠,011420,2012/12,0
(주)갤럭시아에스엠,011420,2013/12,0
(주)갤럭시아에스엠,011420,2014/12,0
(주)갤럭시아에스엠,011420,2015/12,0
(주)갤럭시아에스엠,011420,2016/12,0
(주)갤럭시아에스엠,011420,2017/12,0
(주)갤럭시아에스엠,011420,2018/12,0
(주)갤럭시아에스엠,011420,2019/12,0
(주)경농,002100,2010/12,1728816
(주)경농,002100,2011/12,1467824
(주)경농,002100,2012/12,1296612
(주)경농,002100,2013/12,2161020
(주)경농,002100,2014/12,2111842
(주)경농,002100,2015/12,2501051
(주)경농,002100,2016/12,4734132
(주)경농,002100,2017/12,5270072
(주)경농,002100,2018/12,4466163
(주)경농,002100,2019/12,3930223
(주)경동나비엔,009450,2010/12,1273951
(주)경동나비엔,009450,2011/12,1247352
(주)경동나비엔,009450,2012/12,1262385
(주)경동나비엔,009450,2013/12,1262385
(주)경동나비엔,009450,2014/12,1262385
(주)경동나비엔,009450,2015/12,1262385
(주)경동나비엔,009450,2016/12,1893578
(주)경동나비엔,009450,2017/12,2524770
(주)경동나비엔,009450,2018/12,3155963
(주)경동나비엔,009450,2019/12,3787155
(주)경동도시가스,267290,2017/12,3535031
(주)경동도시가스,267290,2018/12,4124203
(주)경동도시가스,267290,2019/12,5154124
(주)경동인베스트,012320,2010/12,3168000
(주)경동인베스트,012320,2011/12,3832388
(주)경동인베스트,012320,2012/12,4354986
(주)경동인베스트,012320,2013/12,4354986
(주)경동인베스트,012320,2014/12,4354986
(주)경동인베스트,012320,2015/12,4354986
(주)경동인베스트,012320,2016/12,4150078
(주)경동인베스트,012320,2017/12,1136564
(주)경동인베스트,012320,2018/12,1136564
(주)경동인베스트,012320,2019/12,1129116
(주)경방,000050,2010/12,1546119
(주)경방,000050,2011/12,0
(주)경방,000050,2012/12,0
(주)경방,000050,2013/12,623075
(주)경방,000050,2014/12,1370764
(주)경방,000050,2015/12,3426909
(주)경방,000050,2016/12,4934749
(주)경방,000050,2017/12,4934749
(주)경방,000050,2018/12,3371475
(주)경방,000050,2019/12,3301909
(주)경보제약,214390,2010/12,
(주)경보제약,214390,2011/12,
(주)경보제약,214390,2012/12,
(주)경보제약,214390,2013/12,6454851
(주)경보제약,214390,2014/12,6454851
(주)경보제약,214390,2015/12,6574386
(주)경보제약,214390,2016/12,4781372
(주)경보제약,214390,2017/12,5976715
(주)경보제약,214390,2018/12,4781372
(주)경보제약,214390,2019/12,2390686
(주)경인양행,012610,2010/12,1845000
(주)경인양행,012610,2011/12,1845000
(주)경인양행,012610,2012/12,1796003
(주)경인양행,012610,2013/12,1942820
(주)경인양행,012610,2014/12,1951320
(주)경인양행,012610,2015/12,1951820
(주)경인양행,012610,2016/12,1976820
(주)경인양행,012610,2017/12,1984320
(주)경인양행,012610,2018/12,2007820
(주)경인양행,012610,2019/12,2034338
(주)고려시멘트,198440,2014/12,
(주)고려시멘트,198440,2015/12,
(주)고려시멘트,198440,2016/12,
(주)고려시멘트,198440,2017/12,1596156
(주)고려시멘트,198440,2018/12,1119299
(주)고려시멘트,198440,2019/12,479699
(주)고바이오랩,348150,2019/12,0
(주)고영테크놀러지,098460,2010/12,1704385
(주)고영테크놀러지,098460,2011/12,1725178
(주)고영테크놀러지,098460,2012/12,1774827
(주)고영테크놀러지,098460,2013/12,3134472
(주)고영테크놀러지,098460,2014/12,3988511
(주)고영테크놀러지,098460,2015/12,3990461
(주)고영테크놀러지,098460,2016/12,5333015
(주)고영테크놀러지,098460,2017/12,9159537
(주)고영테크놀러지,098460,2018/12,8787061
(주)고영테크놀러지,098460,2019/12,7428890
(주)골드앤에스,035290,2010/12,0
(주)골드앤에스,035290,2011/12,0
(주)골드앤에스,035290,2012/12,0
(주)골드앤에스,035290,2013/12,0
(주)골드앤에스,035290,2014/12,0
(주)골드앤에스,035290,2015/12,0
(주)골드앤에스,035290,2016/12,0
(주)골드앤에스,035290,2017/12,0
(주)골드앤에스,035290,2018/12,0
(주)골드앤에스,035290,2019/12,0
(주)골드퍼시픽,038530,2010/12,0
(주)골드퍼시픽,038530,2011/12,0
(주)골드퍼시픽,038530,2012/12,0
(주)골드퍼시픽,038530,2013/12,0
(주)골드퍼시픽,038530,2014/12,0
(주)골드퍼시픽,038530,2015/12,0
(주)골드퍼시픽,038530,2016/12,0
(주)골드퍼시픽,038530,2017/12,0
(주)골드퍼시픽,038530,2018/12,0
(주)골드퍼시픽,038530,2019/12,0
(주)골프존,215000,2015/12,25089880
(주)골프존,215000,2016/12,10035952
(주)골프존,215000,2017/12,15053928
(주)골프존,215000,2018/12,11604070
(주)골프존,215000,2019/12,12858564
(주)골프존뉴딘홀딩스,121440,2010/12,0
(주)골프존뉴딘홀딩스,121440,2011/12,9442680
(주)골프존뉴딘홀딩스,121440,2012/12,14164020
(주)골프존뉴딘홀딩스,121440,2013/12,14739628
(주)골프존뉴딘홀딩스,121440,2014/12,18355220
(주)골프존뉴딘홀딩스,121440,2015/12,24800337
(주)골프존뉴딘홀딩스,121440,2016/12,5002827
(주)골프존뉴딘홀딩스,121440,2017/12,5002827
(주)골프존뉴딘홀딩스,121440,2018/12,5002827
(주)골프존뉴딘홀딩스,121440,2019/12,5002827
(주)공구우먼,366030,2017/12,
(주)공구우먼,366030,2018/12,
(주)공구우먼,366030,2019/12,
(주)광림,014200,2010/12,606079
(주)광림,014200,2011/12,606079
(주)광림,014200,2012/12,0
(주)광림,014200,2013/12,0
(주)광림,014200,2014/12,0
(주)광림,014200,2015/12,0
(주)광림,014200,2016/12,0
(주)광림,014200,2017/12,0
(주)광림,014200,2018/12,0
(주)광림,014200,2019/12,0
(주)광명전기,017040,2010/12,0
(주)광명전기,017040,2011/12,0
(주)광명전기,017040,2012/12,0
(주)광명전기,017040,2013/12,0
(주)광명전기,017040,2014/12,0
(주)광명전기,017040,2015/12,0
(주)광명전기,017040,2016/12,0
(주)광명전기,017040,2017/12,0
(주)광명전기,017040,2018/12,0
(주)광명전기,017040,2019/12,650064
(주)광무,029480,2010/12,0
(주)광무,029480,2011/12,0
(주)광무,029480,2012/12,0
(주)광무,029480,2013/12,0
(주)광무,029480,2014/12,0
(주)광무,029480,2015/12,0
(주)광무,029480,2016/12,0
(주)광무,029480,2017/12,0
(주)광무,029480,2018/12,0
(주)광무,029480,2019/12,0
(주)광주신세계,037710,2010/12,2000000
(주)광주신세계,037710,2011/12,2000000
(주)광주신세계,037710,2012/12,2000000
(주)광주신세계,037710,2013/12,2000000
(주)광주신세계,037710,2014/12,2000000
(주)광주신세계,037710,2015/12,2000000
(주)광주신세계,037710,2016/12,2000000
(주)광주신세계,037710,2017/12,2000000
(주)광주신세계,037710,2018/12,4800000
(주)광주신세계,037710,2019/12,5570033
(주)구영테크,053270,2010/12,0
(주)구영테크,053270,2011/12,0
(주)구영테크,053270,2012/12,0
(주)구영테크,053270,2013/12,0
(주)구영테크,053270,2014/12,0
(주)구영테크,053270,2015/12,1837127
(주)구영테크,053270,2016/12,0
(주)구영테크,053270,2017/12,903894
(주)구영테크,053270,2018/12,740336
(주)구영테크,053270,2019/12,740336
(주)국동,005320,2010/12,0
(주)국동,005320,2011/12,0
(주)국동,005320,2012/12,0
(주)국동,005320,2013/12,0
(주)국동,005320,2014/12,0
(주)국동,005320,2015/12,0
(주)국동,005320,2016/12,0
(주)국동,005320,2017/12,0
(주)국동,005320,2018/12,0
(주)국동,005320,2019/12,0
(주)국보,001140,2010/12,151096
(주)국보,001140,2011/12,50365
(주)국보,001140,2012/12,50365
(주)국보,001140,2013/12,50365
(주)국보,001140,2014/12,50365
(주)국보,001140,2015/12,50365
(주)국보,001140,2016/12,0
(주)국보,001140,2017/12,0
(주)국보,001140,2018/12,0
(주)국보,001140,2019/12,0
(주)국보디자인,066620,2010/12,1429817
(주)국보디자인,066620,2011/12,1429817
(주)국보디자인,066620,2012/12,1500000
(주)국보디자인,066620,2013/12,1725000
(주)국보디자인,066620,2014/12,1875000
(주)국보디자인,066620,2015/12,1875000
(주)국보디자인,066620,2016/12,1825983
(주)국보디자인,066620,2017/12,2045101
(주)국보디자인,066620,2018/12,1998139
(주)국보디자인,066620,2019/12,2047227
(주)국순당,043650,2010/12,4261254
(주)국순당,043650,2011/12,1688626
(주)국순당,043650,2012/12,1541102
(주)국순당,043650,2013/12,770618
(주)국순당,043650,2014/12,856303
(주)국순당,043650,2015/12,881398
(주)국순당,043650,2016/12,881446
(주)국순당,043650,2017/12,2997001
(주)국순당,043650,2018/12,4583778
(주)국순당,043650,2019/12,1682103
(주)국영지앤엠,006050,2010/12,485320
(주)국영지앤엠,006050,2011/12,0
(주)국영지앤엠,006050,2012/12,568256
(주)국영지앤엠,006050,2013/12,0
(주)국영지앤엠,006050,2014/12,434416
(주)국영지앤엠,006050,2015/12,0
(주)국영지앤엠,006050,2016/12,0
(주)국영지앤엠,006050,2017/12,0
(주)국영지앤엠,006050,2018/12,0
(주)국영지앤엠,006050,2019/12,508429
(주)국전약품,307750,2018/12,
(주)국전약품,307750,2019/12,
(주)그래디언트,035080,2010/12,0
(주)그래디언트,035080,2011/12,0
(주)그래디언트,035080,2012/12,1430276
(주)그래디언트,035080,2013/12,1658756
(주)그래디언트,035080,2014/12,1707039
(주)그래디언트,035080,2015/12,1707413
(주)그래디언트,035080,2016/12,2846891
(주)그래디언트,035080,2017/12,2810075
(주)그래디언트,035080,2018/12,2719650
(주)그래디언트,035080,2019/12,3630200
(주)그리티,204020,2010/12,
(주)그리티,204020,2011/12,
(주)그리티,204020,2012/12,
(주)그리티,204020,2013/12,
(주)그리티,204020,2014/12,1298894
(주)그리티,204020,2015/12,1059998
(주)그리티,204020,2016/12,965667
(주)그리티,204020,2017/12,2000311
(주)그리티,204020,2018/12,1813269
(주)그리티,204020,2019/12,604423
(주)그린플러스,186230,2010/12,
(주)그린플러스,186230,2011/12,
(주)그린플러스,186230,2012/12,
(주)그린플러스,186230,2013/12,
(주)그린플러스,186230,2014/12,
(주)그린플러스,186230,2015/12,
(주)그린플러스,186230,2016/12,
(주)그린플러스,186230,2017/12,
(주)그린플러스,186230,2018/12,0
(주)그린플러스,186230,2019/12,0
(주)글로벌스탠다드테크놀로지,083450,2010/12,330000
(주)글로벌스탠다드테크놀로지,083450,2011/12,332750
(주)글로벌스탠다드테크놀로지,083450,2012/12,387943
(주)글로벌스탠다드테크놀로지,083450,2013/12,413413
(주)글로벌스탠다드테크놀로지,083450,2014/12,609542
(주)글로벌스탠다드테크놀로지,083450,2015/12,0
(주)글로벌스탠다드테크놀로지,083450,2016/12,0
(주)글로벌스탠다드테크놀로지,083450,2017/12,902574
(주)글로벌스탠다드테크놀로지,083450,2018/12,0
(주)글로벌스탠다드테크놀로지,083450,2019/12,1778849
(주)금비,008870,2010/09,600000
(주)금비,008870,2011/09,640000
(주)금비,008870,2012/09,497237
(주)금비,008870,2013/09,647600
(주)금비,008870,2014/09,566650
(주)금비,008870,2015/09,809500
(주)금비,008870,2016/09,971400
(주)금비,008870,2017/09,809500
(주)금비,008870,2018/09,971400
(주)금비,008870,2019/09,971400
(주)금양,001570,2010/12,693783
(주)금양,001570,2011/12,840229
(주)금양,001570,2012/12,1176321
(주)금양,001570,2013/12,1512412
(주)금양,001570,2014/12,2016549
(주)금양,001570,2015/12,2016549
(주)금양,001570,2016/12,0
(주)금양,001570,2017/12,0
(주)금양,001570,2018/12,3057050
(주)금양,001570,2019/12,0
(주)금호에이치티,214330,2010/12,
(주)금호에이치티,214330,2011/12,
(주)금호에이치티,214330,2012/12,
(주)금호에이치티,214330,2013/12,690000
(주)금호에이치티,214330,2014/12,2300000
(주)금호에이치티,214330,2015/12,1220625
(주)금호에이치티,214330,2016/12,976500
(주)금호에이치티,214330,2017/12,732375
(주)금호에이치티,214330,2018/12,0
(주)금호에이치티,214330,2019/12,0
(주)금화피에스시,036190,2010/12,2175000
(주)금화피에스시,036190,2011/12,2900000
(주)금화피에스시,036190,2012/12,3480000
(주)금화피에스시,036190,2013/12,5400000
(주)금화피에스시,036190,2014/12,5400000
(주)금화피에스시,036190,2015/12,5400000
(주)금화피에스시,036190,2016/12,5400000
(주)금화피에스시,036190,2017/12,5400000
(주)금화피에스시,036190,2018/12,7800000
(주)금화피에스시,036190,2019/12,7800000
(주)기가레인,049080,2010/12,
(주)기가레인,049080,2013/12,0
(주)기가레인,049080,2014/12,885221
(주)기가레인,049080,2015/12,0
(주)기가레인,049080,2016/12,0
(주)기가레인,049080,2017/12,0
(주)기가레인,049080,2018/12,0
(주)기가레인,049080,2019/12,0
(주)기산텔레콤,035460,2010/12,0
(주)기산텔레콤,035460,2011/12,0
(주)기산텔레콤,035460,2012/12,0
(주)기산텔레콤,035460,2013/12,0
(주)기산텔레콤,035460,2014/12,0
(주)기산텔레콤,035460,2015/12,0
(주)기산텔레콤,035460,2016/12,0
(주)기산텔레콤,035460,2017/12,0
(주)기산텔레콤,035460,2018/12,0
(주)기산텔레콤,035460,2019/12,0
(주)까뮤이앤씨,013700,2010/12,174290
(주)까뮤이앤씨,013700,2011/12,0
(주)까뮤이앤씨,013700,2012/12,0
(주)까뮤이앤씨,013700,2013/12,0
(주)까뮤이앤씨,013700,2014/12,334230
(주)까뮤이앤씨,013700,2015/12,561936
(주)까뮤이앤씨,013700,2016/12,381063
(주)까뮤이앤씨,013700,2017/12,664684
(주)까뮤이앤씨,013700,2018/12,664684
(주)까뮤이앤씨,013700,2019/12,886246
(주)까스텔바작,308100,2016/12,0
(주)까스텔바작,308100,2017/12,0
(주)까스텔바작,308100,2018/12,0
(주)까스텔바작,308100,2019/12,0
(주)나노,187790,2014/12,
(주)나노,187790,2015/12,0
(주)나노,187790,2016/12,0
(주)나노,187790,2017/12,0
(주)나노,187790,2018/12,476978
(주)나노,187790,2019/12,0
(주)나노브릭,286750,2015/12,
(주)나노브릭,286750,2016/12,
(주)나노브릭,286750,2017/12,0
(주)나노브릭,286750,2018/12,0
(주)나노브릭,286750,2019/12,0
(주)나노신소재,121600,2010/12,0
(주)나노신소재,121600,2011/12,0
(주)나노신소재,121600,2012/12,0
(주)나노신소재,121600,2013/12,0
(주)나노신소재,121600,2014/12,1058583
(주)나노신소재,121600,2015/12,1627143
(주)나노신소재,121600,2016/12,1081634
(주)나노신소재,121600,2017/12,1390783
(주)나노신소재,121600,2018/12,1498236
(주)나노신소재,121600,2019/12,1287800
(주)나노엔텍,039860,2010/12,0
(주)나노엔텍,039860,2011/12,0
(주)나노엔텍,039860,2012/12,0
(주)나노엔텍,039860,2013/12,0
(주)나노엔텍,039860,2014/12,0
(주)나노엔텍,039860,2015/12,0
(주)나노엔텍,039860,2016/12,0
(주)나노엔텍,039860,2017/12,0
(주)나노엔텍,039860,2018/12,0
(주)나노엔텍,039860,2019/12,0
(주)나래나노텍,137080,2010/12,
(주)나래나노텍,137080,2011/12,
(주)나래나노텍,137080,2012/12,
(주)나래나노텍,137080,2013/12,
(주)나래나노텍,137080,2014/12,
(주)나래나노텍,137080,2015/12,
(주)나래나노텍,137080,2016/12,
(주)나래나노텍,137080,2017/12,0
(주)나래나노텍,137080,2018/12,0
(주)나래나노텍,137080,2019/12,0
(주)나무가,190510,2010/12,
(주)나무가,190510,2011/12,
(주)나무가,190510,2012/12,0
(주)나무가,190510,2013/12,0
(주)나무가,190510,2014/12,0
(주)나무가,190510,2015/12,0
(주)나무가,190510,2016/12,0
(주)나무가,190510,2017/12,0
(주)나무가,190510,2018/12,0
(주)나무가,190510,2019/12,0
(주)나스미디어,089600,2010/12,959456
(주)나스미디어,089600,2011/12,1200776
(주)나스미디어,089600,2012/12,1290854
(주)나스미디어,089600,2013/12,1401893
(주)나스미디어,089600,2014/12,2391465
(주)나스미디어,089600,2015/12,2968716
(주)나스미디어,089600,2016/12,3414329
(주)나스미디어,089600,2017/12,6040737
(주)나스미디어,089600,2018/12,4639986
(주)나스미디어,089600,2019/12,5611446
(주)나이벡,138610,2010/12,0
(주)나이벡,138610,2011/12,0
(주)나이벡,138610,2012/12,0
(주)나이벡,138610,2013/12,0
(주)나이벡,138610,2014/12,0
(주)나이벡,138610,2015/12,0
(주)나이벡,138610,2016/12,0
(주)나이벡,138610,2017/12,0
(주)나이벡,138610,2018/12,0
(주)나이벡,138610,2019/12,0
(주)나이스디앤비,130580,2010/12,562520
(주)나이스디앤비,130580,2011/12,754600
(주)나이스디앤비,130580,2012/12,908600
(주)나이스디앤비,130580,2013/12,908600
(주)나이스디앤비,130580,2014/12,1093400
(주)나이스디앤비,130580,2015/12,1293600
(주)나이스디앤비,130580,2016/12,1293600
(주)나이스디앤비,130580,2017/12,1478400
(주)나이스디앤비,130580,2018/12,2310000
(주)나이스디앤비,130580,2019/12,2695000
(주)나이스홀딩스,034310,2010/12,0
(주)나이스홀딩스,034310,2011/12,1968365
(주)나이스홀딩스,034310,2012/12,4772075
(주)나이스홀딩스,034310,2013/12,4037910
(주)나이스홀딩스,034310,2014/12,3900798
(주)나이스홀딩스,034310,2015/12,4255416
(주)나이스홀딩스,034310,2016/12,4610034
(주)나이스홀딩스,034310,2017/12,4610034
(주)나이스홀딩스,034310,2018/12,6818814
(주)나이스홀딩스,034310,2019/12,8712929
(주)나인테크,267320,2017/12,
(주)나인테크,267320,2018/12,
(주)나인테크,267320,2019/12,
(주)남선알미늄,008350,2010/12,0
(주)남선알미늄,008350,2011/12,0
(주)남선알미늄,008350,2012/12,0
(주)남선알미늄,008350,2013/12,0
(주)남선알미늄,008350,2014/12,0
(주)남선알미늄,008350,2015/12,0
(주)남선알미늄,008350,2016/12,0
(주)남선알미늄,008350,2017/12,0
(주)남선알미늄,008350,2018/12,0
(주)남선알미늄,008350,2019/12,0
(주)남성,004270,2010/12,838922
(주)남성,004270,2011/12,838922
(주)남성,004270,2012/12,524327
(주)남성,004270,2013/12,371596
(주)남성,004270,2014/12,374096
(주)남성,004270,2015/12,157251
(주)남성,004270,2016/12,199615
(주)남성,004270,2017/12,320052
(주)남성,004270,2018/12,314768
(주)남성,004270,2019/12,412560
(주)내츄럴엔도텍,168330,2012/12,0
(주)내츄럴엔도텍,168330,2013/12,0
(주)내츄럴엔도텍,168330,2014/12,0
(주)내츄럴엔도텍,168330,2015/12,0
(주)내츄럴엔도텍,168330,2016/12,0
(주)내츄럴엔도텍,168330,2017/12,0
(주)내츄럴엔도텍,168330,2018/12,0
(주)내츄럴엔도텍,168330,2019/12,0
(주)네오리진,094860,2010/12,0
(주)네오리진,094860,2011/12,0
(주)네오리진,094860,2012/12,0
(주)네오리진,094860,2013/12,0
(주)네오리진,094860,2014/12,0
(주)네오리진,094860,2015/12,0
(주)네오리진,094860,2016/12,0
(주)네오리진,094860,2017/12,0
(주)네오리진,094860,2018/12,0
(주)네오리진,094860,2019/12,0
(주)네오셈,253590,2016/12,
(주)네오셈,253590,2017/12,
(주)네오셈,253590,2018/12,
(주)네오셈,253590,2019/12,367801
(주)네오오토,212560,2010/12,
(주)네오오토,212560,2011/12,
(주)네오오토,212560,2012/12,
(주)네오오토,212560,2013/12,0
(주)네오오토,212560,2014/12,0
(주)네오오토,212560,2015/12,0
(주)네오오토,212560,2016/12,787489
(주)네오오토,212560,2017/12,629965
(주)네오오토,212560,2018/12,472474
(주)네오오토,212560,2019/12,393728
(주)네오위즈,095660,2010/12,39817
(주)네오위즈,095660,2011/12,0
(주)네오위즈,095660,2012/12,0
(주)네오위즈,095660,2013/12,0
(주)네오위즈,095660,2014/12,0
(주)네오위즈,095660,2015/12,0
(주)네오위즈,095660,2016/12,0
(주)네오위즈,095660,2017/12,0
(주)네오위즈,095660,2018/12,0
(주)네오위즈,095660,2019/12,0
(주)네오위즈홀딩스,042420,2010/12,14180
(주)네오위즈홀딩스,042420,2011/12,0
(주)네오위즈홀딩스,042420,2012/12,0
(주)네오위즈홀딩스,042420,2013/12,0
(주)네오위즈홀딩스,042420,2014/12,0
(주)네오위즈홀딩스,042420,2015/12,2967146
(주)네오위즈홀딩스,042420,2016/12,0
(주)네오위즈홀딩스,042420,2017/12,0
(주)네오위즈홀딩스,042420,2018/12,0
(주)네오위즈홀딩스,042420,2019/12,1001690
(주)네오이뮨텍,950220,2019/12,0
(주)네오크레마,311390,2016/12,
(주)네오크레마,311390,2017/12,
(주)네오크레마,311390,2018/12,0
(주)네오크레마,311390,2019/12,0
(주)네오티스,085910,2010/12,1021202
(주)네오티스,085910,2011/12,1702004
(주)네오티스,085910,2012/12,2556744
(주)네오티스,085910,2013/12,2159005
(주)네오티스,085910,2014/12,2512485
(주)네오티스,085910,2015/12,0
(주)네오티스,085910,2016/12,2637847
(주)네오티스,085910,2017/12,2627847
(주)네오티스,085910,2018/12,2611251
(주)네오티스,085910,2019/12,2611251
(주)네오팜,092730,2010/12,370453
(주)네오팜,092730,2011/12,559592
(주)네오팜,092730,2012/12,555679
(주)네오팜,092730,2013/12,724258
(주)네오팜,092730,2014/12,1768626
(주)네오팜,092730,2015/12,1768626
(주)네오팜,092730,2016/12,2476076
(주)네오팜,092730,2017/12,3537252
(주)네오팜,092730,2018/12,4598428
(주)네오팜,092730,2019/12,5865471
(주)네오펙트,290660,2017/12,0
(주)네오펙트,290660,2018/12,0
(주)네오펙트,290660,2019/12,0
(주)네온테크,306620,2018/12,
(주)네온테크,306620,2019/12,
(주)네이블커뮤니케이션즈,153460,2010/12,0
(주)네이블커뮤니케이션즈,153460,2011/12,0
(주)네이블커뮤니케이션즈,153460,2012/12,0
(주)네이블커뮤니케이션즈,153460,2013/12,0
